ID,Number
001,14
002,8
003,73
004,13
005,2
006,20010823
007,1200
008,36
009,12
010,3
011,8675309
012,2
013,8
014,1E+14
015,552
016,2.89735E+52
017,2
018,6
019,0
020,24
021,16
022,15
023,65
024,7
025,42
026,4
027,11
028,666
029,87
030,574
031,5
032,12
033,11
034,6.9697E+73
035,32
036,10
037,3
038,23
039,8
040,21
041,42
042,38
043,67
044,13
045,0
046,500
047,7
048,1227
049,22
050,14346618
051,32
052,922016
053,2
054,6
055,6
056,7
057,92
058,888
059,38
060,23
061,87
062,50
063,1024
064,4
065,2
066,0
067,0
068,0
069,37
070,794
071,23
072,8
073,86
074,7
075,8
076,47
077,2319
078,19
079,0
080,3.14159
081,0
082,32
083,4.89E+89
084,4
085,21
086,17
087,3
088,17
089,2
090,47
091,21
092,128
093,25
094,555
095,77777
096,77777
097,0
098,7.93217E+42
099,0
100,800
101,1
102,7
103,7
104,25
105,24
106,2
107,7
108,333
109,7
110,60
111,1024
112,7
113,248
114,31
115,1999
116,8
117,12
118,3
119,18
120,3
121,6
122,568
123,2
124,392
125,5.55556E+33
126,13
127,18
128,777
129,7
130,95300
131,3
132,33
133,1
134,8
135,3
136,25
137,510
138,1.23457E+16
139,8
140,2
141,17
142,99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
143,53
144,56
145,7
146,15
147,9833
148,5
149,70
150,5
151,562
152,1E+222
153,1E-10
154,2
155,27
156,0
157,8
158,18
159,13
160,42
161,799
162,21
163,20
164,69
165,25
166,100
167,1.00E+256
168,1023
169,13
170,6
171,12345
172,79
173,7
174,8.98909E+93
175,16
176,59
177,0
178,29
179,2
180,16
181,99
182,87980
183,445923
184,4
185,16
186,112263
187,6
188,22
189,6
190,3.65002E+35
191,0
192,8
193,18
194,7
195,3
196,4.44444E+16
197,1234567890
198,57
199,123456789
200,1.618033989
201,2.00155E+46
202,9997
203,8
204,999999999
205,3
206,7
207,7
208,14
209,8
210,76
211,625
212,7
213,1933
214,35
215,0
216,897
217,27
218,7.36341E+91
219,2
220,3
221,42
222,7
223,9999
224,27
225,43
226,3
227,7
228,123456789
229,7
230,10
231,42
232,99
233,13
234,6
235,42
236,180
237,444
238,8
239,5
240,5
241,22
242,9
243,77
244,19
245,6378
246,666
247,8
248,10
249,3
250,15
251,8
252,0
253,89
254,8
255,0
256,42
257,100
258,624
259,88
260,4
261,23
262,37
263,7
264,25
265,24
266,3
267,420
268,3
269,7
270,8
271,1926
272,17